Seed,Alpha,Day,Hour,Minute,Time (minutes),Station ID,Success,Failure Reason,Did Roam,Arrival Station ID,Travel Time (minutes),Bike ID,Bike Criticality
1,0.3,0,7,0,420,S2,True,,False,S7,17.87,B17,0.3676
1,0.3,0,7,0,420,S51,True,,False,S52,1.71,B572,0.3574
1,0.3,0,7,1,421,S64,True,,False,S54,12.41,B737,0.1903
1,0.3,0,7,2,422,S22,True,,False,S46,14.59,B210,0.1575
1,0.3,0,7,2,422,S28,True,,False,S23,7.78,B282,0.5033
1,0.3,0,7,2,422,S34,True,,False,S29,2.41,B367,0.3885
1,0.3,0,7,2,422,S42,True,,False,S63,16.12,B473,0.6366
1,0.3,0,7,2,422,S60,True,,False,S4,3.63,B687,0.8098
1,0.3,0,7,3,423,S16,True,,False,S54,8.91,B159,0.6738
1,0.3,0,7,3,423,S54,True,,False,S50,14.06,B607,0.1653
1,0.3,0,7,3,423,S66,True,,False,S43,5.91,B756,0.6535
1,0.3,0,7,4,424,S10,True,,False,S35,4.42,B96,0.187
1,0.3,0,7,4,424,S15,True,,False,S50,6.47,B145,0.6205
1,0.3,0,7,4,424,S22,True,,False,S60,10.95,B211,0.8423
1,0.3,0,7,5,425,S60,True,,False,S35,21.26,B688,0.6379
1,0.3,0,7,6,426,S24,True,,False,S33,16.26,B229,0.2402
1,0.3,0,7,6,426,S34,True,,False,S52,8.63,B368,0.3872
1,0.3,0,7,7,427,S46,True,,False,S35,8.92,B514,0.5469
1,0.3,0,7,7,427,S58,True,,False,S28,17.46,B653,0.1912
1,0.3,0,7,8,428,S27,True,,False,S52,6.8,B269,0.3339
1,0.3,0,7,8,428,S60,True,,False,S35,12.43,B689,0.3068
1,0.3,0,7,9,429,S1,True,,False,S56,13.12,B10,0.5936
1,0.3,0,7,10,430,S29,True,,False,S37,7.23,B297,0.595
1,0.3,0,7,10,430,S60,True,,False,S37,5.08,B690,0.2744
1,0.3,0,7,11,431,S7,True,,False,S41,10.66,B67,0.5084
1,0.3,0,7,11,431,S36,True,,False,S35,5.24,B392,0.3576
1,0.3,0,7,11,431,S61,True,,False,S62,1.23,B703,0.5665
1,0.3,0,7,12,432,S24,True,,False,S33,13.7,B230,0.2516
1,0.3,0,7,12,432,S35,True,,False,S33,7.59,B380,0.3439
1,0.3,0,7,12,432,S54,True,,False,S37,10.65,B608,0.5156
1,0.3,0,7,12,432,S61,True,,False,S61,36.41,B704,0.108
1,0.3,0,7,12,432,S62,True,,False,S52,1.85,B710,0.6279
1,0.3,0,7,13,433,S12,True,,False,S52,3.69,B112,0.2917
1,0.3,0,7,13,433,S57,True,,False,S37,868.74,B640,0.6258
1,0.3,0,7,13,433,S63,True,,False,S19,7.64,B723,0.3611
1,0.3,0,7,14,434,S7,True,,False,S36,21.55,B68,0.6386
1,0.3,0,7,14,434,S33,True,,False,S9,12.05,B353,0.3166
1,0.3,0,7,14,434,S42,True,,False,S0,2.42,B474,0.7263
1,0.3,0,7,14,434,S58,True,,False,S54,17.18,B654,0.3854
1,0.3,0,7,15,435,S47,True,,False,S12,22.22,B527,0.4205
1,0.3,0,7,15,435,S64,True,,False,S44,6.88,B738,0.4469
1,0.3,0,7,16,436,S15,True,,False,S50,4.91,B146,0.312
1,0.3,0,7,16,436,S18,True,,False,S57,15.2,B179,0.3069
1,0.3,0,7,16,436,S36,True,,False,S54,12.52,B394,0.3691
1,0.3,0,7,17,437,S29,True,,False,S41,41.33,B298,0.1469
1,0.3,0,7,17,437,S33,True,,False,S18,4.56,B354,0.2399
1,0.3,0,7,17,437,S60,True,,False,S12,16.9,B691,0.6089
1,0.3,0,7,18,438,S54,True,,False,S50,4.99,B609,0.3496
1,0.3,0,7,19,439,S40,True,,False,S47,8.09,B448,0.6893
1,0.3,0,7,19,439,S40,True,,False,S33,3.34,B449,0.27
1,0.3,0,7,19,439,S50,True,,False,S59,22.36,B557,0.2658
1,0.3,0,7,19,439,S55,True,,False,S46,10.81,B619,0.4352
1,0.3,0,7,19,439,S61,True,,False,S61,40.05,B705,0.1089
1,0.3,0,7,20,440,S7,True,,False,S18,7.68,B69,0.844
1,0.3,0,7,20,440,S60,True,,False,S18,1.07,B692,0.5555
1,0.3,0,7,20,440,S62,True,,False,S50,9.72,B711,0.3242
1,0.3,0,7,21,441,S7,True,,False,S33,10.13,B70,0.2229
1,0.3,0,7,22,442,S10,True,,False,S35,9.84,B97,0.5042
1,0.3,0,7,22,442,S34,True,,False,S52,6.0,B369,0.5037
1,0.3,0,7,22,442,S58,True,,False,S43,17.29,B655,0.6404
1,0.3,0,7,22,442,S60,True,,False,S49,4.04,B693,0.6977
1,0.3,0,7,22,442,S63,True,,False,S41,9.86,B724,0.5606
1,0.3,0,7,22,442,S66,True,,False,S57,25.99,B757,0.2796
1,0.3,0,7,23,443,S54,True,,False,S46,5.6,B610,0.4586
1,0.3,0,7,23,443,S57,True,,False,S46,8.15,B642,0.4073
1,0.3,0,7,23,443,S60,True,,False,S18,2.91,B694,0.2198
1,0.3,0,7,23,443,S61,True,,False,S43,10.74,B706,0.1217
1,0.3,0,7,24,444,S16,True,,False,S12,6.72,B160,0.3607
1,0.3,0,7,24,444,S41,True,,False,S53,5.83,B458,0.0261
1,0.3,0,7,25,445,S10,True,,False,S4,3.98,B98,0.3557
1,0.3,0,7,25,445,S66,True,,False,S40,6.84,B758,0.635
1,0.3,0,7,26,446,S18,True,,False,S54,37.65,B180,0.5893
1,0.3,0,7,26,446,S37,True,,False,S19,9.14,B402,0.5132
1,0.3,0,7,27,447,S60,True,,False,S4,3.42,B695,0.6956
1,0.3,0,7,27,447,S60,True,,False,S39,2.4,B696,0.3834
1,0.3,0,7,28,448,S13,True,,False,S12,12.86,B124,0.3921
1,0.3,0,7,28,448,S43,True,,False,S61,2.56,B483,0.081
1,0.3,0,7,28,448,S43,True,,False,S11,18.56,B484,0.3087
1,0.3,0,7,28,448,S55,True,,False,S46,2.98,B620,0.6894
1,0.3,0,7,29,449,S66,True,,False,S43,7.09,B759,0.5105
1,0.3,0,7,30,450,S27,True,,False,S29,7.67,B270,0.2089
1,0.3,0,7,31,451,S61,True,,False,S3,7.47,B707,0.7031
1,0.3,0,7,32,452,S26,True,,False,S61,7.02,B253,0.5407
1,0.3,0,7,33,453,S42,True,,False,S0,5.11,B475,0.7488
1,0.3,0,7,33,453,S61,True,,False,S61,0.82,B708,0.3319
1,0.3,0,7,33,453,S61,True,,False,S35,14.22,B709,0.3243
1,0.3,0,7,34,454,S2,True,,False,S7,3.07,B18,0.2591
1,0.3,0,7,34,454,S60,True,,False,S29,13.71,B697,0.3003
1,0.3,0,7,35,455,S13,True,,False,S12,15.49,B125,0.3491
1,0.3,0,7,35,455,S53,True,,False,S54,6.76,B591,0.3609
1,0.3,0,7,35,455,S63,True,,False,S37,2.02,B725,0.5947
1,0.3,0,7,36,456,S37,True,,False,S55,6.17,B403,0.3033
1,0.3,0,7,36,456,S46,True,,False,S52,3.78,B515,0.444
1,0.3,0,7,36,456,S60,True,,False,S58,0.53,B698,0.3367
1,0.3,0,7,36,456,S64,True,,False,S54,14.9,B739,0.4985
1,0.3,0,7,37,457,S43,True,,False,S55,6.1,B485,0.6167
1,0.3,0,7,37,457,S61,True,,False,S46,4.79,B483,0.0874
1,0.3,0,7,38,458,S52,True,,False,S54,9.17,B582,0.7005
