feature,screening_group,family
rebalancing_imbalance,base_rebalancing,base_rebalancing
squared_starvation_penalty,base_rebalancing,base_rebalancing
squared_congestion_penalty,base_rebalancing,base_rebalancing
gross_starvation_risk,base_rebalancing,base_rebalancing
gross_congestion_risk,base_rebalancing,base_rebalancing
global_onsite_backlog,maintenance,onsite_backlog
global_depot_backlog,maintenance,depot_backlog
demand_weighted_onsite_backlog,maintenance,demand_weighted_backlog
demand_weighted_depot_backlog,maintenance,demand_weighted_backlog
fleet_broken_fraction,maintenance,fleet_availability
depot_idle_fraction,maintenance,depot_pipeline
fleet_failure_risk,maintenance,degradation
fleet_low_health_fraction,maintenance,degradation
maintenance_restoration_value,maintenance,immediate_repair_opportunity
onsite_shortage_pressure,maintenance,immediate_repair_opportunity
depot_shortage_pressure,maintenance,depot_backlog
current_station_onsite_shortage_pressure,maintenance,immediate_repair_opportunity
current_station_depot_shortage_pressure,maintenance,depot_removal_opportunity
broken_cargo_distance_pressure,maintenance,vehicle_logistics
late_broken_cargo_pressure,maintenance,vehicle_logistics
repaired_idle_away_pressure,maintenance,depot_pipeline
depot_pipeline_pressure,maintenance,depot_pipeline
depot_queue_pickup_opportunity,maintenance,depot_pipeline
degradation_demand_exposure,maintenance,degradation
