Seed,day,hour,time_minutes,vehicle_id,functional_cargo,depot_cargo
9000,0,0,300,V0,0,0
9000,0,5,360,V0,0,0
9000,0,6,420,V0,0,0
9000,0,7,480,V0,6,0
9000,0,8,540,V0,12,0
9000,0,9,600,V0,7,0
9000,0,10,660,V0,13,0
9000,0,11,720,V0,5,0
9000,0,12,780,V0,20,0
9000,0,13,840,V0,6,0
9000,0,14,900,V0,0,0
9000,0,15,960,V0,12,0
9000,0,16,1020,V0,2,0
9000,0,17,1080,V0,3,0
9000,0,18,1140,V0,1,0
9000,0,19,1200,V0,9,0
9000,0,20,1260,V0,9,0
9000,0,21,1320,V0,9,0
9000,0,22,1380,V0,9,0
9000,0,23,1440,V0,9,0
9000,1,0,1500,V0,9,0
9000,1,1,1560,V0,9,0
9000,1,2,1620,V0,9,0
9000,1,3,1680,V0,9,0
9000,1,4,1740,V0,9,0
9000,1,5,1800,V0,9,0
9000,1,6,1860,V0,9,0
9000,1,7,1920,V0,2,0
9000,1,8,1980,V0,0,0
9000,1,9,2040,V0,17,0
9000,1,10,2100,V0,7,0
9000,1,11,2160,V0,0,0
9000,1,12,2220,V0,0,0
9000,1,13,2280,V0,1,0
9000,1,14,2340,V0,15,0
9000,1,15,2400,V0,0,0
9000,1,16,2460,V0,14,0
9000,1,17,2520,V0,18,0
9000,1,18,2580,V0,6,0
9000,1,19,2640,V0,2,0
9000,1,20,2700,V0,2,0
9000,1,21,2760,V0,2,0
9000,1,22,2820,V0,2,0
9000,1,23,2880,V0,2,0
9000,2,0,2940,V0,2,0
9000,2,1,3000,V0,2,0
9000,2,2,3060,V0,2,0
9000,2,3,3120,V0,2,0
9000,2,4,3180,V0,2,0
9000,2,5,3240,V0,2,0
9000,2,6,3300,V0,2,0
9000,2,7,3360,V0,5,0
9000,2,8,3420,V0,11,0
9000,2,9,3480,V0,19,0
9000,2,10,3540,V0,20,0
9000,2,11,3600,V0,17,0
9000,2,12,3660,V0,6,0
9000,2,13,3720,V0,14,0
9000,2,14,3780,V0,4,0
9000,2,15,3840,V0,0,0
9000,2,16,3900,V0,1,0
9000,2,17,3960,V0,20,0
9000,2,18,4020,V0,1,0
9000,2,19,4080,V0,10,0
9000,2,20,4140,V0,10,0
9000,2,21,4200,V0,10,0
9000,2,22,4260,V0,10,0
9000,2,23,4320,V0,10,0
9000,3,0,4380,V0,10,0
9000,3,1,4440,V0,10,0
9000,3,2,4500,V0,10,0
9000,3,3,4560,V0,10,0
9000,3,4,4620,V0,10,0
9000,3,5,4680,V0,10,0
9000,3,6,4740,V0,10,0
9000,3,7,4800,V0,0,0
9000,3,8,4860,V0,13,0
