Seed,Alpha,Day,Hour,Minute,Time (minutes),Station ID,Success,Failure Reason,Did Roam,Arrival Station ID,Travel Time (minutes),Bike ID,Bike Criticality
1,0.24,0,7,0,420,S2,True,,False,S7,6.11,B17,0.3676
1,0.24,0,7,0,420,S51,True,,False,S52,25.46,B572,0.3574
1,0.24,0,7,1,421,S64,True,,False,S54,18.33,B737,0.1903
1,0.24,0,7,2,422,S22,True,,False,S20,6.25,B210,0.1575
1,0.24,0,7,2,422,S28,True,,False,S23,6.58,B282,0.5033
1,0.24,0,7,2,422,S34,True,,False,S29,0.58,B367,0.3885
1,0.24,0,7,2,422,S42,True,,False,S53,15.17,B473,0.6366
1,0.24,0,7,2,422,S60,True,,False,S4,2.72,B687,0.8098
1,0.24,0,7,3,423,S16,True,,False,S54,9.87,B159,0.6738
1,0.24,0,7,3,423,S54,True,,False,S50,7.89,B607,0.1653
1,0.24,0,7,3,423,S66,True,,False,S43,11.04,B756,0.6535
1,0.24,0,7,4,424,S10,True,,False,S35,2.0,B96,0.187
1,0.24,0,7,4,424,S15,True,,False,S50,5.86,B145,0.6205
1,0.24,0,7,4,424,S22,True,,False,S60,6.4,B211,0.8423
1,0.24,0,7,5,425,S60,True,,False,S35,19.66,B688,0.6379
1,0.24,0,7,6,426,S24,True,,False,S14,8.41,B229,0.2402
1,0.24,0,7,6,426,S34,True,,False,S46,22.72,B368,0.3872
1,0.24,0,7,7,427,S46,True,,False,S61,2.24,B514,0.5469
1,0.24,0,7,7,427,S58,True,,False,S11,14.95,B653,0.1912
1,0.24,0,7,8,428,S27,True,,False,S29,0.3,B269,0.3339
1,0.24,0,7,8,428,S60,True,,False,S58,4.74,B689,0.3068
1,0.24,0,7,9,429,S1,True,,False,S56,1.36,B10,0.5936
1,0.24,0,7,10,430,S29,True,,False,S37,23.1,B297,0.595
1,0.24,0,7,10,430,S60,True,,False,S51,11.85,B690,0.2744
1,0.24,0,7,11,431,S7,True,,False,S18,8.56,B67,0.5084
1,0.24,0,7,11,431,S36,True,,False,S35,11.7,B392,0.3576
1,0.24,0,7,11,431,S61,True,,False,S43,10.38,B703,0.5665
1,0.24,0,7,12,432,S24,True,,False,S33,14.44,B230,0.2516
1,0.24,0,7,12,432,S35,True,,False,S63,9.23,B380,0.3439
1,0.24,0,7,12,432,S54,True,,False,S41,16.94,B608,0.5156
1,0.24,0,7,12,432,S61,True,,False,S54,5.05,B704,0.108
1,0.24,0,7,12,432,S62,True,,False,S29,5.14,B710,0.6279
1,0.24,0,7,13,433,S12,True,,False,S57,16.06,B112,0.2917
1,0.24,0,7,13,433,S57,True,,False,S55,2.29,B640,0.6258
1,0.24,0,7,13,433,S63,True,,False,S35,11.02,B723,0.3611
1,0.24,0,7,14,434,S7,True,,False,S3,22.68,B68,0.6386
1,0.24,0,7,14,434,S33,True,,False,S9,12.05,B353,0.3166
1,0.24,0,7,14,434,S42,True,,False,S49,6.23,B474,0.7263
1,0.24,0,7,14,434,S58,True,,False,S40,10.53,B654,0.3854
1,0.24,0,7,15,435,S47,True,,False,S12,29.32,B527,0.4205
1,0.24,0,7,15,435,S64,True,,False,S44,8.22,B738,0.4469
1,0.24,0,7,16,436,S15,True,,False,S50,6.4,B146,0.312
1,0.24,0,7,16,436,S18,True,,False,S57,11.51,B179,0.3069
1,0.24,0,7,16,436,S36,True,,False,S29,11.92,B394,0.3691
1,0.24,0,7,17,437,S29,True,,False,S54,1.98,B298,0.1469
1,0.24,0,7,17,437,S33,True,,False,S9,12.05,B354,0.2399
1,0.24,0,7,17,437,S60,True,,False,S39,3.97,B691,0.6089
1,0.24,0,7,18,438,S54,True,,False,S41,5.64,B609,0.3496
1,0.24,0,7,19,439,S40,True,,False,S49,11.75,B448,0.6893
1,0.24,0,7,19,439,S40,True,,False,S35,3.21,B449,0.27
1,0.24,0,7,19,439,S50,True,,False,S27,8.07,B557,0.2658
1,0.24,0,7,19,439,S55,True,,False,S46,8.11,B619,0.4352
1,0.24,0,7,19,439,S61,True,,False,S52,12.59,B705,0.1089
